protein_id,matrixdb_ecm,matrisome,species_ncbi,go_terms,keywords,dataset,interaction_count
Q5RJI4,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q8R2H5,True,,10116,Extracellular matrix|Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9EPR2,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q8HYB7,True,,9615,Extracellular space,,Swiss-Prot,0
Q54HY0,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
E2RYF7,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P01301,True,,9940,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P41336,True,,9986,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
O97763,True,,9823,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P01300,True,,9823,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P10601,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q25C36,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q0VCP3,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q66H86,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q0P3W2,True,,7955,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q29RB4,True,,7955,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q7SZK7,True,,7955,Extracellular region,,Swiss-Prot,0
Q28143,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q8C4W3,True,,10090,Extracellular space,,Swiss-Prot,0
P18254,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P33712,True,,9615,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P07455,True,Secreted Factors|Matrisome-associated,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P32752,True,,9823,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P50415,True,,9940,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q2IAL6,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P19661,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P81282,True,Proteoglycans|Core matrisome,9913,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
P21837,True,,44689,Extracellular matrix,,Swiss-Prot,0
Q8R555,True,,10090,Extracellular region,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
